"","rowname","error"
"1","ErrorMessage","argument ""names.arg"" is missing, with no default"
"2","ErrorType","error"
"3","ErrorMessage1","the condition has length > 1"
"4","ErrorMessage4","object 'env1' not found"
"5","ErrorMessage6","object 'env2' not found"
"6","ErrorMessage8","object 'all.equal.encvironment' not found"
"7","ErrorMessage9","argument ""target"" is missing, with no default"
"8","ErrorMessage11","argument ""current"" is missing, with no default"
"9","ErrorMessage25","'check.attributes' must be logical"
"10","ErrorMessage29","argument ""x"" is missing, with no default"
"11","ErrorMessage32","length(tolerance) == 1L is not TRUE"
"12","ErrorMessage37","<text>:1:101: unexpected '='
1: all.equal.numeric(target = x,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                        ^"
"13","ErrorMessage39","<text>:1:103: unexpected '='
1: all.equal.numeric(target = ""x"",current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                          ^"
"14","ErrorMessage40","<text>:1:102: unexpected '='
1: all.equal.numeric(target = df,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                         ^"
"15","ErrorMessage47","argument ""expr"" is missing, with no default"
"16","ErrorMessage49","object 'true' not found"
"17","ErrorMessage50","coercing argument of type 'double' to logical"
"18","ErrorType50","warning"
"19","ErrorMessage52","coercing argument of type 'character' to logical"
"20","ErrorMessage56","MARGIN = 1 is invalid for dim = "
"21","ErrorMessage59","argument 1 is empty"
"22","ErrorMessage60","argument 2 is empty"
"23","ErrorMessage63","argument ""a"" is missing, with no default"
"24","ErrorMessage64","invalid first argument, must be an array"
"25","ErrorMessage76","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"26","ErrorMessage101","argument 'incomparables != FALSE' is not used (yet)"
"27","ErrorMessage217","wrong class"
"28","ErrorMessage222","'origin' must be supplied"
"29","ErrorMessage224","character string is not in a standard unambiguous format"
"30","ErrorMessage225","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"31","ErrorMessage228","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"32","ErrorMessage229","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"33","ErrorMessage231","missing value where TRUE/FALSE needed"
"34","ErrorMessage234","invalid 'row.names', length 6 for a data frame with 10 rows"
"35","ErrorMessage240","new columns would leave holes after existing columns"
"36","ErrorMessage242","NAs introduced by coercion"
"37","ErrorMessage243","'list' object cannot be coerced to type 'complex'"
"38","ErrorMessage251","dims [product 1] do not match the length of object [6]"
"39","ErrorMessage255","subscript out of bounds"
"40","ErrorMessage263","row names must be 'character' or 'integer', not 'double'"
"41","ErrorMessage376","could not find function ""aas.data.frame.data.frame"""
"42","ErrorMessage538","cannot coerce class ‘""numeric""’ to a data.frame"
"43","ErrorMessage539","cannot coerce class ‘""character""’ to a data.frame"
"44","ErrorMessage540","cannot coerce class ‘""data.frame""’ to a data.frame"
