"","rowname","error"
"1","ErrorMessage","'...' used in an incorrect context"
"2","ErrorType","error"
"3","ErrorMessage1","argument ""x"" is missing, with no default"
"4","ErrorMessage2","argument ""y"" is missing, with no default"
"5","ErrorMessage3","1 missing value deleted"
"6","ErrorType3","warning"
"7","ErrorMessage5","the condition has length > 1"
"8","ErrorMessage19","argument ""center"" is missing, with no default"
"9","ErrorMessage20","argument ""cov"" is missing, with no default"
"10","ErrorMessage21","'a' (6 x 1) must be square"
"11","ErrorMessage23","STATS is longer than the extent of 'dim(x)[MARGIN]'"
"12","ErrorMessage26","argument ""link"" is missing, with no default"
"13","ErrorMessage27","EXPR must be a length 1 vector"
"14","ErrorMessage29","‘df’ link not recognised"
"15","ErrorMessage31","argument ""phi"" is missing, with no default"
"16","ErrorMessage32","NAs in 'phi'"
"17","ErrorMessage38","NAs in 'theta'"
"18","ErrorMessage41","argument ""call"" is missing, with no default"
"19","ErrorMessage44","argument ""formula"" is missing, with no default"
"20","ErrorMessage45","$ operator is invalid for atomic vectors"
"21","ErrorMessage46","no terms component nor attribute"
"22","ErrorMessage50","if 'x' is not an array, 'y' must be given"
"23","ErrorMessage51","if 'x' is not an array, 'z' must be given"
"24","ErrorMessage52","sample size in each stratum must be > 1"
"25","ErrorMessage58","argument ""object"" is missing, with no default"
"26","ErrorMessage59","no applicable method for 'mauchly.test' applied to an object of class ""c('double', 'numeric')"""
"27","ErrorMessage60","no applicable method for 'mauchly.test' applied to an object of class ""data.frame"""
"28","ErrorMessage61","no applicable method for 'mauchly.test' applied to an object of class ""character"""
"29","ErrorMessage64","if 'x' is not a matrix, 'y' must be given"
"30","ErrorMessage65","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"31","ErrorMessage66","'x' and 'y' must have the same length"
"32","ErrorMessage71","need numeric data"
"33","ErrorMessage80","missing value where TRUE/FALSE needed"
"34","ErrorMessage82","numerical expression has 6 elements: only the first used"
"35","ErrorMessage87","argument ""frame"" is missing, with no default"
"36","ErrorMessage88","subscript out of bounds"
"37","ErrorMessage92","argument is not a valid model"
"38","ErrorMessage93","invalid formula"
"39","ErrorMessage94","invalid formula ""df"": not a call"
"40","ErrorMessage105","'data' must be a data.frame, environment, or list"
"41","ErrorMessage130","argument ""data"" is missing, with no default"
"42","ErrorMessage131","argument is of length zero"
"43","ErrorMessage136","no applicable method for 'model.tables' applied to an object of class ""name"""
"44","ErrorMessage137","no applicable method for 'model.tables' applied to an object of class ""c('double', 'numeric')"""
"45","ErrorMessage138","no applicable method for 'model.tables' applied to an object of class ""data.frame"""
"46","ErrorMessage139","no applicable method for 'model.tables' applied to an object of class ""character"""
"47","ErrorMessage146","need finite 'ylim' values"
"48","ErrorMessage147","argument is not numeric or logical: returning NA"
"49","ErrorMessage152","default method not implemented for type 'list'"
"50","ErrorMessage155","argument ""z"" is missing, with no default"
"51","ErrorMessage156","vector-valued (multivariate) series required"
"52","ErrorMessage164","invalid time series parameters specified"
"53","ErrorMessage169","missing values in object"
"54","ErrorMessage182","argument ""n"" is missing, with no default"
"55","ErrorMessage183","nextn<64>() found no solution < -1 = UINT64_MAX (the maximal integer)"
"56","ErrorMessage184","NAs introduced by coercion to integer range"
"57","ErrorMessage188","argument ""p"" is missing, with no default"
"58","ErrorMessage190","missing value in parameter"
"59","ErrorMessage204","argument ""start"" is missing, with no default"
"60","ErrorMessage205","argument ""objective"" is missing, with no default"
