"","rowname","error"
"1","ErrorMessage"," 引数 ""names.arg"" がありませんし、省略時既定値もありません "
"2","ErrorType","error"
"3","ErrorMessage1","the condition has length > 1"
"4","ErrorMessage4"," オブジェクト 'env1' がありません "
"5","ErrorMessage6"," オブジェクト 'env2' がありません "
"6","ErrorMessage8"," オブジェクト 'all.equal.encvironment' がありません "
"7","ErrorMessage9"," 引数 ""target"" がありませんし、省略時既定値もありません "
"8","ErrorMessage11"," 引数 ""current"" がありませんし、省略時既定値もありません "
"9","ErrorMessage25"," 'check.attributes' は論理値でなければなりません "
"10","ErrorMessage29"," 引数 ""x"" がありませんし、省略時既定値もありません "
"11","ErrorMessage32"," length(tolerance) == 1L は TRUE ではありません "
"12","ErrorMessage37","<text>:1:101:  予想外の '=' です 
1: all.equal.numeric(target = x,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                        ^"
"13","ErrorMessage39","<text>:1:103:  予想外の '=' です 
1: all.equal.numeric(target = ""x"",current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                          ^"
"14","ErrorMessage40","<text>:1:102:  予想外の '=' です 
1: all.equal.numeric(target = df,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                         ^"
"15","ErrorMessage47"," 引数 ""expr"" がありませんし、省略時既定値もありません "
"16","ErrorMessage49"," オブジェクト 'true' がありません "
"17","ErrorMessage50"," 'double' 型の引数を論理型に変換します "
"18","ErrorType50","warning"
"19","ErrorMessage52"," 'character' 型の引数を論理型に変換します "
"20","ErrorMessage56","MARGIN = 1 is invalid for dim = "
"21","ErrorMessage59"," 引数 1 が空です "
"22","ErrorMessage60"," 引数 2 が空です "
"23","ErrorMessage63"," 引数 ""a"" がありませんし、省略時既定値もありません "
"24","ErrorMessage64","invalid first argument, must be an array"
"25","ErrorMessage76","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"26","ErrorMessage101"," 引数 'incomparables != FALSE' は (まだ) 使用されていません "
"27","ErrorMessage217"," 間違ったクラスです "
"28","ErrorMessage222"," 'origin' を指定しなければなりません "
"29","ErrorMessage224"," 文字列は標準的な曖昧さのない書式にはなっていません "
"30","ErrorMessage225","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"31","ErrorMessage228","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"32","ErrorMessage229","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"33","ErrorMessage231"," TRUE/FALSE が必要なところが欠損値です "
"34","ErrorMessage234"," 無効な 'row.names' です。長さが 6 ですが、データフレームの行数は 10 です "
"35","ErrorMessage240"," 新しい列は既存の列に穴を開けるかも知れません "
"36","ErrorMessage242"," 強制変換により NA が生成されました "
"37","ErrorMessage243","'list' object cannot be coerced to type 'complex'"
"38","ErrorMessage251"," dims [product 1] はオブジェクト [6] の長さに整合しません "
"39","ErrorMessage255"," 添え字が許される範囲外です "
"40","ErrorMessage263"," 列の名前は 'double' ではなく文字型 ('character') 又は整数型 ('integer') でなければなりません "
"41","ErrorMessage376"," 関数 ""aas.data.frame.data.frame"" を見つけることができませんでした "
"42","ErrorMessage538","cannot coerce class ‘""numeric""’ to a data.frame"
"43","ErrorMessage539","cannot coerce class ‘""character""’ to a data.frame"
"44","ErrorMessage540","cannot coerce class ‘""data.frame""’ to a data.frame"
"45","ErrorMessage560"," 与えられた列名は誤った長さです "
"46","ErrorMessage572"," 'length.out' 引数の最初の要素だけが使われました "
"47","ErrorMessage578"," 引数の長さが 0 です "
"48","ErrorMessage620"," 'x' からクラス “POSIXct” へ変換は定義されていません "
"49","ErrorMessage628"," 'dimnames' が配列以外に適用されました "
"50","ErrorMessage652"," 'df' からクラス “Date” へ変換は定義されていません "
"51","ErrorMessage655"," 'format' 引数が不正です "
"52","ErrorMessage770","unknown timezone 'df'"
"53","ErrorMessage783"," 置き換えるべき項目数が、置き換える数の倍数ではありませんでした "
"54","ErrorMessage946"," 'x' からクラス “Date” へ変換は定義されていません "
"55","ErrorMessage949"," '""x""' からクラス “Date” へ変換は定義されていません "
"56","ErrorMessage965"," 'x' 引数が不正です "
"57","ErrorMessage969"," 使われていない引数 (alist(x = )) "
"58","ErrorMessage970"," 使われていない引数 (x = c(-1, 0, 1, -Inf, NaN, Inf)) "
"59","ErrorMessage972"," 使われていない引数 (x = ""x"") "
