"","rowname","error"
"1","ErrorMessage"," 'envir' 引数が不正です "
"2","ErrorType","error"
"3","ErrorMessage6"," 使われていない引数 (alist(x = )) "
"4","ErrorMessage7"," 引数 ""names"" がありませんし、省略時既定値もありません "
"5","ErrorMessage8","the condition has length > 1"
"6","ErrorMessage10"," 'allow_' の値が不正です "
"7","ErrorMessage18"," 'names' は文字ベクトルでなければなりません "
"8","ErrorMessage23"," 引数 ""sym"" がありませんし、省略時既定値もありません "
"9","ErrorMessage24"," 引数 ""fun"" がありませんし、省略時既定値もありません "
"10","ErrorMessage25"," 引数 ""env"" がありませんし、省略時既定値もありません "
"11","ErrorMessage26"," シンボルではありません "
"12","ErrorMessage30"," 関数でありません "
"13","ErrorMessage31"," '...' が不適切な文脈で使われました "
"14","ErrorMessage32"," 引数 ""f"" がありませんし、省略時既定値もありません "
"15","ErrorMessage33"," 変数 'x' （モード 'function'）は見つかりません "
"16","ErrorMessage35"," 引数 ""FUN"" がありませんし、省略時既定値もありません "
"17","ErrorMessage44","argument 'MoreArgs' of 'mapply' is not a list or pairlist"
"18","ErrorMessage57"," 使われていない引数 (alist(FUN = )) "
"19","ErrorMessage58"," 引数 ""x"" がありませんし、省略時既定値もありません "
"20","ErrorMessage59"," 負の添字と混在できるのは 0 という添字だけです "
"21","ErrorMessage60"," 単項演算子に対する引数が不正です "
"22","ErrorMessage61"," 'x' は名前付きの次元名を持たなければなりません "
"23","ErrorMessage62"," 'x' は配列ではありません "
"24","ErrorMessage64"," 使われていない引数 (alist(FUN = , quietly = )) "
"25","ErrorMessage71"," 使われていない引数 (alist(nrow = , ncol = )) "
"26","ErrorMessage72"," 引数 ""nc"" がありませんし、省略時既定値もありません "
"27","ErrorMessage76"," 'nrow' の値が不正です (負の値です) "
"28","ErrorMessage77"," 行列の大きさが数値ではありません "
"29","ErrorMessage80"," 引数 ""table"" がありませんし、省略時既定値もありません "
"30","ErrorMessage81","'list' object cannot be coerced to type 'double'"
"31","ErrorMessage82"," 強制変換により NA が生成されました "
"32","ErrorType82","warning"
"33","ErrorMessage88"," 引数 ""arg"" がありませんし、省略時既定値もありません "
"34","ErrorMessage89"," 'arg' は、NULL かひとつの文字ベクトルでなければなりません "
"35","ErrorMessage97"," 引数の型が不正です "
"36","ErrorMessage98"," 使われていない引数 (alist(substitute = )) "
"37","ErrorMessage99"," 'definition' 引数が不正です "
"38","ErrorMessage100"," 'call' 引数が不正です "
"39","ErrorMessage115"," 引数が論理変数として解釈することができません "
"40","ErrorMessage119"," オブジェクト '.Generic' がありません "
"41","ErrorMessage120","non-numeric-alike variable(s) in data frame: rowname, ."
"42","ErrorMessage121","non-numeric-alike variable(s) in data frame: 1"
"43","ErrorMessage144"," 'byrow' 引数が不正です "
"44","ErrorMessage153"," 引数 1 が空です "
"45","ErrorMessage154"," max の引数に有限な値がありません: -Inf を返します "
"46","ErrorMessage159","'arg' should be one of “random”, “first”, “last”"
