"","rowname","value"
"27","ErrorMessage","argument ""names.arg"" is missing, with no default"
"28","ErrorType","error"
"35","ErrorMessage","the condition has length > 1"
"36","ErrorType","error"
"37","ErrorMessage","the condition has length > 1"
"38","ErrorType","error"
"39","ErrorMessage","the condition has length > 1"
"40","ErrorType","error"
"41","ErrorMessage","object 'env1' not found"
"42","ErrorType","error"
"43","ErrorMessage","object 'env1' not found"
"44","ErrorType","error"
"45","ErrorMessage","object 'env2' not found"
"46","ErrorType","error"
"47","ErrorMessage","object 'env2' not found"
"48","ErrorType","error"
"49","ErrorMessage","object 'all.equal.encvironment' not found"
"50","ErrorType","error"
"51","ErrorMessage","argument ""target"" is missing, with no default"
"52","ErrorType","error"
"59","ErrorMessage","argument ""target"" is missing, with no default"
"60","ErrorType","error"
"65","ErrorMessage","argument ""current"" is missing, with no default"
"66","ErrorType","error"
"67","ErrorMessage","argument ""current"" is missing, with no default"
"68","ErrorType","error"
"73","ErrorMessage","argument ""target"" is missing, with no default"
"74","ErrorType","error"
"75","ErrorMessage","argument ""current"" is missing, with no default"
"76","ErrorType","error"
"80","ErrorMessage","argument ""target"" is missing, with no default"
"81","ErrorType","error"
"82","ErrorMessage","argument ""current"" is missing, with no default"
"83","ErrorType","error"
"85","ErrorMessage","the condition has length > 1"
"86","ErrorType","error"
"87","ErrorMessage","the condition has length > 1"
"88","ErrorType","error"
"89","ErrorMessage","the condition has length > 1"
"90","ErrorType","error"
"91","ErrorMessage","argument ""target"" is missing, with no default"
"92","ErrorType","error"
"93","ErrorMessage","argument ""current"" is missing, with no default"
"94","ErrorType","error"
"100","ErrorMessage","argument ""current"" is missing, with no default"
"101","ErrorType","error"
"102","ErrorMessage","argument ""target"" is missing, with no default"
"103","ErrorType","error"
"104","ErrorMessage","argument ""current"" is missing, with no default"
"105","ErrorType","error"
"107","ErrorMessage","'check.attributes' must be logical"
"108","ErrorType","error"
"109","ErrorMessage","'check.attributes' must be logical"
"110","ErrorType","error"
"111","ErrorMessage","'check.attributes' must be logical"
"112","ErrorType","error"
"113","ErrorMessage","'check.attributes' must be logical"
"114","ErrorType","error"
"115","ErrorMessage","argument ""x"" is missing, with no default"
"116","ErrorType","error"
"117","ErrorMessage","argument ""x"" is missing, with no default"
"118","ErrorType","error"
"119","ErrorMessage","argument ""x"" is missing, with no default"
"120","ErrorType","error"
"121","ErrorMessage","length(tolerance) == 1L is not TRUE"
